Latitude,Longitude,Precipitation
-45.2479,169.2844,0.671693189
-42.9402,171.562,0.148184387
-43.595,170.1418,0.209532991
-36.8509,174.7645,0.977537171
-43.532,172.6306,0.771450417
-45.8795,170.5006,0.081347423
-38.6641,178.0228,0.121456773
-42.4614,171.1985,0.400179
-37.7826,175.2528,0.849860479
-46.4179,168.3615,0.517277712
-39.4823,176.9192,0.963387149
-41.2985,173.2444,0.770854689
-39.0572,174.0794,0.131445767
-40.3545,175.6097,0.2278699
-38.1446,176.2378,0.188545921
-37.8898,178.3191,0.117257376
-38.6843,176.0704,0.772155957
-37.687,176.1654,0.213134425
-45.4144,167.718,0.99533442
-44.3904,171.2373,0.148347581
-44.2615,170.0876,0.182396448
-41.2924,174.7787,0.06748826
-35.7275,174.3166,0.235229688
